Country,Site,Inhabitants House surface area / 4m2 ,Pits per house,Mean pit L,Total liters per house,"Total caloric storage(wheat for Korea and Kazakstan, Millet for China) ",YRS_Storage,Estimated person p m2,Reference
Korea,Daeheung-ri,3.50,4.8,715,3432,9166872,3.58781683,4,Bale 2011
Korea,Ssancheong III,3.65,3.1,1344,4166.4,11128454.4,4.176563858,4,Bale 2011
Korea,Gwanchang-ri II,5.93,0.6,756,453.6,1211565.6,0.280114583,4,Bale 2011
Korea,Bunhyang-ri,6.60,2,780,1560,4166760,0.86483188,4,Bale 2011
Korea,Hakam-ri II,4.20,0.9,2240,2016,5384736,0.351254795,4,Bale 2011
Korea,Anyeong-ri,3.00,2.4,1190,2856,7628376,3.483276712,4,Bale 2011
Korea,Tosil,5.85,7.8,900,7020,18750420,4.390684932,4,Bale 2011
Korea,Majeon-ri,4.78,9.5,3648,34656,92566176,26.55559808,4,Bale 2011
Korea,Bony'g-dong,3.40,10,1890,18900,50481900,20.33920226,4,Bale 2011
Korea,Okbang 1b,3.08,0.8,540,432,1153872,0.514031407,4,Bale 2011
Korea,Daepyeong 1,4.40,1.8,384,691.2,1846195.2,0.574780573,4,Bale 2011
Korea,Daepyeong 2,5.83,3.6,442,1591.2,4250095.2,0.999493257,4,Bale 2011
Korea,Daeya-ri,5.75,0.3,2280,684,1826964,0.435250506,4,Bale 2011
Korea,Sawol-ri,6.42,1.6,966,1545.6,4128297.6,0.881330212,4,Bale 2011
China,Jiangzhai F030,4.08,2,,4000,8280000,2.783427179,4,Peterson and Shelach 2012
China,Jiangzhai F035,1.78,1,,9100,18837000,0.05159062,4,Peterson and Shelach 2012
China,Jiangzhai F042,4.20,3,,5300,10971000,0.209598031,4,Peterson and Shelach 2012
China,Jiangzhai F045,3.95,1,,300,621000,3.482487923,4,Peterson and Shelach 2012
China,Jiangzhai F046,2.45,3,,17300,35811000,0.037457066,4,Peterson and Shelach 2012
China,Jiangzhai F047,21.73,6,,12700,26289000,0.452449218,4,Peterson and Shelach 2012
China,Jiangzhai  F049,3.98,4,,8700,18009000,0.120845827,4,Peterson and Shelach 2012
China,Jiangzhai F085,6.65,1,,2800,5796000,0.62817029,4,Peterson and Shelach 2012
China,Jiangzhai F086,9.70,6,,28400,58788000,0.090337314,4,Peterson and Shelach 2012
China,Jiangzhai F001,31.40,4,,1900,3933000,4.37109077,4,Peterson and Shelach 2012
