Vegetation_ID,Vegetation_formation_and_sub-formation,Vegetation_type
1,Larix gmelinii forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
2,Larix sibirica forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
3,Larix olgensis var. changpaiensis forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
4,Larix principis-rupprechtii forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
5,Larix kaempferi forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
6,Pinus pumila forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
7,Pinus sylvestris var. mongolica forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
8,"Pinus sibirica forest and P. sibirica, Larix sibirica forest",Needleleaf forests in cold-temperate zone and on mountains in temperate zone
9,Abies nephrolepis forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
10,Picea jezoensis forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
11,Picea wilsonii forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
12,Picea meyeri forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
13,Picea crassifolia forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
14,Picea schrenkiana forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
15,Sabina przewalskii forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
16,Sabina komarovii forest,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
17,Pinus tabulaeformis forest,Needleleaf forests in temperate zone
18,Pinus densifora forest,Needleleaf forests in temperate zone
19,Pinus thunbergii forst,Needleleaf forests in temperate zone
20,Pinus bungeana forest,Needleleaf forests in temperate zone
21,Platycladus orientalis forest,Needleleaf forests in temperate zone
22,Juniperus rigida forest,Needleleaf forests in temperate zone
23,Pinus massoniana forest,Needleleaf forests in subtropical zone
24,Pinus yunnanensis forest,Needleleaf forests in subtropical zone
25,Pinus yunanensis var. tenuifolia forest,Needleleaf forests in subtropical zone
26,Pinus khasya forest,Needleleaf forests in subtropical zone
27,Pinus taiwanensis forest,Needleleaf forests in subtropical zone
28,Pinus armandii forest,Needleleaf forests in subtropical zone
29,Pinus henryi forest,Needleleaf forests in subtropical zone
30,Cunninghamia landceolata forest,Needleleaf forests in subtropical zone
31,Cupressus funebris forest,Needleleaf forests in subtropical zone
32,Pinus latterii forest,Needleleaf forests in tropical zone
33,Pinus roxburghii forest,Needleleaf forests in tropical zone
34,Pinus griffithii forest,Needleleaf forests on mountains in subtropical an tropical zones
35,Larix chinensis forest,Needleleaf forests on mountains in subtropical an tropical zones
36,Larix potaninii forest,Needleleaf forests on mountains in subtropical an tropical zones
37,Larix potaninii var. macrocarpa forest,Needleleaf forests on mountains in subtropical an tropical zones
38,"Tsuga formosana, Picea morrisonicola forest",Needleleaf forests on mountains in subtropical an tropical zones
39,Tsuga dumosa forest,Needleleaf forests on mountains in subtropical an tropical zones
40,Pinus densata forest,Needleleaf forests on mountains in subtropical an tropical zones
41,Picea asperata forest,Needleleaf forests on mountains in subtropical an tropical zones
42,Picea purpurea forest,Needleleaf forests on mountains in subtropical an tropical zones
43,Picea brachytyla forest,Needleleaf forests on mountains in subtropical an tropical zones
44,Picea likiangensis forest,Needleleaf forests on mountains in subtropical an tropical zones
45,Picea likiangensis var. balfouriana forest,Needleleaf forests on mountains in subtropical an tropical zones
46,Picea likiangensis var. linzhiensis forest,Needleleaf forests on mountains in subtropical an tropical zones
47,Abies kawakamii forest,Needleleaf forests on mountains in subtropical an tropical zones
48,Abies fargesii forest,Needleleaf forests on mountains in subtropical an tropical zones
49,Abies fabri forest,Needleleaf forests on mountains in subtropical an tropical zones
50,Abies faxoniana forest,Needleleaf forests on mountains in subtropical an tropical zones
51,Abies forrestii forest,Needleleaf forests on mountains in subtropical an tropical zones
52,Abies squamata forest,Needleleaf forests on mountains in subtropical an tropical zones
53,Abies georgei forest,Needleleaf forests on mountains in subtropical an tropical zones
54,Abies georgei var. smithii forest,Needleleaf forests on mountains in subtropical an tropical zones
55,Abies delavayi forest,Needleleaf forests on mountains in subtropical an tropical zones
56,Abies delavayi var. motuoensis forest,Needleleaf forests on mountains in subtropical an tropical zones
57,"Abies densa, Picea spinulosa forest",Needleleaf forests on mountains in subtropical an tropical zones
58,Abies spectabilis forest,Needleleaf forests on mountains in subtropical an tropical zones
59,Sabina pingii var. fargesii forest,Needleleaf forests on mountains in subtropical an tropical zones
60,Sabina tibetica forest,Needleleaf forests on mountains in subtropical an tropical zones
61,Sabina saltuaria forest,Needleleaf forests on mountains in subtropical an tropical zones
62,Sabina convallium forest,Needleleaf forests on mountains in subtropical an tropical zones
63,Pinus koraiensis and deciduous broadleaf mixed forest,Needleleaf and deciduous broadleaf mixed forests in temperate zone 
64,"Chamaecyparis formosensis, Ch. obtusa var. formosana, Cyclobalanopsis longinux, Trochodendron aralioides forest","Needeleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone"
65,Tsuga chinensis and broadleaf mixed forest,"Needeleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone"
66,Tsuga dumosa and broadleaf mixed forest,"Needeleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone"
67,"Tilia, Acer forest",Broadleaf deciduous forests in temperate zone
68,"Ulmus propinqua, Fraxinus mandshurica, Juglans mandshurica forest",Broadleaf deciduous forests in temperate zone
69,Quercus mongolica forest,Broadleaf deciduous forests in temperate zone
70,Quercus liaotungensis forest,Broadleaf deciduous forests in temperate zone
71,Quercus aliena forest,Broadleaf deciduous forests in temperate zone
72,Quercus dentata forest,Broadleaf deciduous forests in temperate zone
73,Quercus acutissima forest,Broadleaf deciduous forests in temperate zone
